id,target_grammar_id,target_usage_index,type,question,options,correct_index,explanation
GT_N1_004_03,N1_004,0,CHOICE,成[せい]否[ひ]の______、やってみることが何[なに]より大[たい]切[せつ]だ。,"[""いかんをとわず"", ""いかんで"", ""いかんでは"", ""いかんにより""]",0,"文意：不管成功与否，最重要的是尝试着去做做看。
考点：「～いかんをとわず」前面的助词用「を」，表示「不论前项如何」。常与「成否」「合否」等含正反意义的词搭配使用。「いかんで」「いかんでは」表示条件，「いかんにより」不完整。"
GT_N1_004_04,N1_004,0,CHOICE,学[がく]歴[れき]の______、実[じつ]力[りょく]があれば採[さい]用[よう]する。,"[""いかんにかかわらず"", ""いかんで"", ""いかんだから"", ""いかんによって""]",0,"文意：不论学历如何，只要有实力就会录用。
考点：「～いかんにかかわらず」表示「不管前项如何」，常与「学歴」「国籍」等词搭配。「いかんで」表示根据情况决定，「いかんだから」「いかんによって」不是正确形式。"
GT_N1_004_05,N1_004,0,CHOICE,天[てん]候[こう]の______、明[あす]日[あす]の試[し]合[あい]は予[よ]定[てい]通[どお]り行[おこな]う。,"[""いかんで"", ""いかんによっては"", ""いかんによらず"", ""いかんだから""]",2,"文意：不管天气如何，明天的比赛都将按计划进行。
考点：「～いかんによらず」表示「不论前项如何」，与后文「按计划进行」呼应。「いかんで」「いかんによっては」表示可能变化，与句意矛盾。"
GT_N1_005_01,N1_005,0,CHOICE,店[みせ]には多[おお]くの魅[み]力[りょく]的[てき]な品[しな]が並[なら]んでいたが、______買[か]うとなるとなかなか決[けっ]心[しん]がつかなかった。,"[""いざ"", ""まさか"", ""たとえ"", ""もしも""]",0,"文意：虽然商店里摆满了很多有吸引力的商品，但是一旦要选起来，还是拿不定主意。
考点：「いざ～となると」表示「一旦真的要...的话」，强调付诸实际行动时的困难。「まさか」表示没想到，「たとえ」表示即使，「もしも」表示假如。"
GT_N1_005_02,N1_005,0,CHOICE,簡[かん]単[たん]そうに見[み]えるが、いざ自[じ]分[ぶん]で______となると、なかなかうまくいかないものだ。,"[""やる"", ""やって"", ""やれば"", ""やろう""]",0,"文意：虽然看似简单，但一旦自己去做，就不是那么容易。
考点：「いざ～となると」接动词辞书形，表示「一旦真的要...」。「やって」是て形，「やれば」是假定形，「やろう」是意志形，均不符合接续规则。"
GT_N1_005_03,N1_005,0,CHOICE,レシピを見[み]るだけでは簡[かん]単[たん]そうだったが、いざ作[つく]る______、あれ？これでいいのかな？と思[おも]うことが何[なん]度[ど]もあった。,"[""となって"", ""となると"", ""とすれば"", ""としたら""]",1,"文意：只看菜谱似乎很简单，但一旦要去做，就会觉得心里没底。
考点：「いざ～となると」是固定句型，表示「一旦真的要...」。「となって」是て形，「とすれば」「としたら」表示假设，均不符合句型要求。"
GT_N1_005_04,N1_005,0,CHOICE,日[にち]常[じょう]会[かい]話[わ]は問[もん]題[だい]ないが、いざプレゼン______となると緊[きん]張[ちょう]してしまう。,"[""をする"", ""する"", ""している"", ""した""]",1,"文意：日常会话没问题，但一旦要做演示就会紧张。
考点：「いざ～となると」接动词辞书形。「をする」助词多余，「している」是进行时，「した」是过去时，均不符合接续规则。"
GT_N1_005_05,N1_005,0,CHOICE,理[り]論[ろん]は理[り]解[かい]できたが、いざ実[じっ]践[せん]______となると難[むずか]しい。,"[""する"", ""した"", ""して"", ""すれば""]",0,"文意：理论能理解，但一旦要付诸实践就很难。
考点：「いざ～となると」接动词辞书形，表示付诸行动时的困难。「した」是过去时，「して」是て形，「すれば」是假定形，均不符合接续。"
GT_N1_005_06,N1_005,1,CHOICE,何[なん]度[ど]も練[れん]習[しゅう]してきたが、______なかなか思[おも]うとおりに進[すす]まない。,"[""いざとなると"", ""まさかとなると"", ""たとえとなると"", ""もしもとなると""]",0,"文意：虽然练习了好多次，但是到了关键时刻，还是无法如自己所愿顺利进行。
考点：「いざとなると」作为惯用短语单独使用，表示「到了关键时刻」。其他选项均不是正确的惯用表达。"
GT_N1_005_07,N1_005,1,CHOICE,______仕[し]事[ごと]をやめてふるさとに帰[かえ]ることもできる。,"[""いざとなれば"", ""いざとなると"", ""まさかとなれば"", ""たとえとなれば""]",0,"文意：万一真的待不下去了，可以辞职回老家。
考点：「いざとなれば」表示「万一...」，后项表示可采取的措施。「いざとなると」后项多描述事情进展不顺，与本句积极措施的语气不符。"
GT_N1_005_08,N1_005,1,CHOICE,______110番[ひゃくとおばん]に通[つう]報[ほう]してください。,"[""いざとなっては"", ""いざとなったら"", ""まさかとなったら"", ""たとえとなったら""]",1,"文意：万一碰到麻烦，请打110报警。
考点：「いざとなったら」表示「万一...」，用于提出建议或应对措施。「いざとなっては」不是正确形式，其他选项不是正确的惯用表达。"
GT_N1_005_09,N1_005,1,CHOICE,普[ふ]段[だん]は冷[れい]静[せい]な人[ひと]だが、______判[はん]断[だん]力[りょく]が鈍[にぶ]る。,"[""いざとなれば"", ""いざとなると"", ""まさかとなると"", ""もしもとなると""]",1,"文意：平时是个冷静的人，但到了关键时刻判断力就变迟钝了。
考点：「いざとなると」后项多描述事情进展不顺或出乎意料的情况，符合本句语境。「いざとなれば」后项多表示可采取的积极措施。"
GT_N1_005_10,N1_005,1,CHOICE,彼[かれ]は______頼[たよ]りになる人[ひと]だ。,"[""いざとなると"", ""いざとなれば"", ""まさかとなれば"", ""たとえとなれば""]",1,"文意：他是那种关键时刻可以依靠的人。
考点：「いざとなれば」后项表示积极的结果或可采取的措施，符合「可以依靠」的正面评价。「いざとなると」后项多表示负面情况发展。"
GT_N1_006_01,N1_006,0,CHOICE,昨[きのう]日[う]、話[わ]題[だい]のその映[えい]画[が]を見[み]たが、______迫[はく]力[りょく]が足[た]りない気[き]がした。,"[""今ひとつ"", ""今さら"", ""今にも"", ""今では""]",0,"文意：昨天去看了最近成为话题的那部影片，但是我感觉震撼力还不够。
考点：「今ひとつ」表示「还差一点」「还有欠缺」。「今さら」表示事已至此，「今にも」表示马上就要，「今では」表示现在。"
GT_N1_006_02,N1_006,0,CHOICE,人[にん]気[き]作[さっ]家[か]の最[さい]新[しん]作[さく]を読[よ]んではいるが、______うまく理[り]解[かい]できない。,"[""今ひとつ"", ""今まで"", ""今に"", ""今のところ""]",0,"文意：那位人气作家的最新作品我虽然读过了，但还是不太能理解。
考点：「今ひとつ」表示程度不足、还差一点。「今まで」表示到现在为止，「今に」表示总有一天，「今のところ」表示目前。"
GT_N1_006_03,N1_006,0,CHOICE,このカバンは使[つか]い勝[がっ]手[て]はよいが、デザインが______だ。,"[""今さら"", ""今ひとつ"", ""今にも"", ""今や""]",1,"文意：这个包用起来很方便，但是设计方面有所欠缺。
考点：「今ひとつ」用于句末表示「还有欠缺」。「今さら」表示事到如今，「今にも」表示眼看就要，「今や」表示现在已经。"
GT_N1_006_04,N1_006,0,CHOICE,彼[かれ]の説[せつ]明[めい]は______わかりにくかった。,"[""今や"", ""今さら"", ""今ひとつ"", ""今まで""]",2,"文意：他的说明还是不太容易理解。
考点：「今ひとつ」表示「还差一点」，修饰否定形式。「今や」表示如今已经，「今さら」表示事到如今，「今まで」表示迄今。"
GT_N1_006_05,N1_006,0,CHOICE,この料[りょう]理[り]は見[み]た目[め]はいいが、味[あじ]が______だ。,"[""今にも"", ""今では"", ""今ひとつ"", ""今ごろ""]",2,"文意：这道菜看起来不错，但味道还差一点。
考点：「今ひとつだ」用于句末表示「有所欠缺」。「今にも」表示马上就要，「今では」表示现在，「今ごろ」表示现在这个时候。"
GT_N1_007_01,N1_007,0,CHOICE,あんまり腹[はら]が立[た]ったので、つい______ことを言[い]ってしまった。,"[""言わずもがなの"", ""言うまでもなく"", ""言うに及ばず"", ""言わんばかりの""]",0,"文意：因为太生气了，不由得说了些不该说的话。
考点：「言わずもがなの＋名」表示「不该说的...」。「言うまでもなく」表示不用说，「言うに及ばず」表示用不着说，「言わんばかりの」表示好像要说。"
GT_N1_007_02,N1_007,0,CHOICE,皆[みな]の前[まえ]で______ことを言[い]ってしまって後[こう]悔[かい]している。,"[""言うべき"", ""言わずもがなの"", ""言うまでもない"", ""言いようのない""]",1,"文意：在大家面前说了一些不该说的话，真是后悔。
考点：「言わずもがなの＋名」表示「不该说的...」「不说为妙的...」。「言うべき」表示应该说的，「言うまでもない」表示不用说，「言いようのない」表示无法形容。"
GT_N1_007_03,N1_007,0,CHOICE,そんなことは______だ。,"[""言うまでもない"", ""言わずもがな"", ""言うに及ばない"", ""言わないほうがいい""]",1,"文意：那种事不说为妙。
考点：「言わずもがなだ」用于句末，表示「不该说」「不说为妙」。「言うまでもない」表示不必说，「言うに及ばない」表示不值得说，「言わないほうがいい」虽然意思相近但不是固定表达。"
GT_N1_007_04,N1_007,0,CHOICE,彼[かれ]は酔[よ]うと______話[はなし]を始[はじ]める癖[くせ]がある。,"[""言わずもがなの"", ""言うべき"", ""言いたい放題の"", ""言うまでもない""]",0,"文意：他一喝醉就有开始说一些不该说的话的毛病。
考点：「言わずもがなの＋名」表示「不该说的...」。「言うべき」表示应该说的，「言いたい放題の」表示想说什么就说什么，「言うまでもない」表示不必说。"
GT_N1_007_05,N1_007,0,CHOICE,会[かい]議[ぎ]中[ちゅう]に______発[はつ]言[げん]をして、上[じょう]司[し]に怒[おこ]られた。,"[""言うに足りない"", ""言わずもがなの"", ""言うべからざる"", ""言いようのない""]",1,"文意：在会议中说了不该说的话，被上司批评了。
考点：「言わずもがなの＋名」表示「不该说的...」「不说为妙的...」。「言うに足りない」表示不值一提，「言うべからざる」表示不可言说的，「言いようのない」表示无法形容。"
GT_N1_007_06,N1_007,1,CHOICE,学[がく]生[せい]は______、教[きょう]師[し]まで集[あつ]まった。,"[""言うまでもなく"", ""言わずもがな"", ""言うに及ばず"", ""言ってみれば""]",1,"文意：学生自不必说，连教师都到场了。
考点：「名＋は言わずもがな」表示「...自不必说，...（也）」。「言うまでもなく」虽然意思相近但接续不同，「言うに及ばず」表示用不着说，「言ってみれば」表示可以说是。"
GT_N1_007_07,N1_007,1,CHOICE,彼[かれ]は英[えい]語[ご]は______、スペイン語[ご]もできる。,"[""言わずもがな"", ""言うに及ばず"", ""言ってみれば"", ""言うなれば""]",0,"文意：英语自然不用说，他连西班牙语也会讲。
考点：「名＋は言わずもがな」表示「...自不必说，...（也）」，与「～は言うまでもなく～も」用法相同。「言うに及ばず」表示用不着说，「言ってみれば」「言うなれば」表示可以说是。"
GT_N1_007_08,N1_007,1,CHOICE,若[わか]者[もの]は______、お年[とし]寄[よ]りまでも彼[かの]女[じょ]が出[しゅつ]演[えん]するドラマに夢[む]中[ちゅう]になっている。,"[""言うに及ばず"", ""言ってみれば"", ""言わずもがな"", ""言うなれば""]",2,"文意：年轻人自不必说，就连老年人也喜欢她演的连续剧。
考点：「名＋は言わずもがな」表示「...自不必说，...（也）」。后项使用「まで（も）」表示「连...也」，强调程度。"
GT_N1_007_09,N1_007,1,CHOICE,国[こく]内[ない]は______、海[かい]外[がい]でも人[にん]気[き]がある。,"[""言わずもがな"", ""言うまでもなく"", ""言うに及ばず"", ""言わんばかりに""]",0,"文意：国内自不必说，在海外也很受欢迎。
考点：「名＋は言わずもがな」表示「...自不必说，...（也）」，与「～はもちろん」用法相同。「言うまでもなく」接续不同，「言うに及ばず」表示不值得说，「言わんばかりに」表示简直就像要说。"
GT_N1_007_10,N1_007,1,CHOICE,日[に]本[ほん]語[ご]は______、中[ちゅう]国[ごく]語[ご]もペラペラだ。,"[""言ってみれば"", ""言うなれば"", ""言わずもがな"", ""言うに及ばず""]",2,"文意：日语自不必说，中文也说得很流利。
考点：「名＋は言わずもがな」表示「...自不必说，...（也）」。「言ってみれば」「言うなれば」表示可以说是，「言うに及ばず」表示不值得一说。"
GT_N1_008_01,N1_008,0,CHOICE,たとえ相[あい]手[て]がどういうチーム______精[せい]一[いっ]杯[ぱい]やるだけです。,"[""だろうが"", ""だろうと"", ""であっても"", ""だとしたら""]",1,"文意：无论对手是支什么样的队伍，我们都只有全力以赴。
考点：「名/ナ形＋だろうと」表示假定条件的逆接，「无论...都...」。「だろうが」也可以使用，「であっても」表示即使是，「だとしたら」表示如果是的话。"
GT_N1_008_02,N1_008,0,CHOICE,この仕[し]事[ごと]は誰[だれ]が______、結[けっ]果[か]は同[おな]じだと思[おも]う。,"[""やったら"", ""やれば"", ""やろうが"", ""やっても""]",2,"文意：我觉得这份工作不管谁去做，结果都是一样的。
考点：「動意向形＋が」表示假定条件的逆接，常与疑问词「誰」连用。「やったら」「やれば」表示条件，「やっても」表示让步但不如「やろうが」正式。"
GT_N1_008_03,N1_008,0,CHOICE,どんなに数[すう]学[がく]が得[とく]意[い]______、試[し]験[けん]のときは油[ゆ]断[だん]してはならない。,"[""でも"", ""だろうと"", ""であれば"", ""だから""]",1,"文意：不管数学再怎么好，考试的时候也不能掉以轻心。
考点：「ナ形＋だろうと」表示假定条件的逆接，常与「どんなに」连用。「でも」表示让步但语气较弱，「であれば」表示条件，「だから」表示原因。"
GT_N1_008_04,N1_008,0,CHOICE,いくら忙[いそが]し______、食[しょく]事[じ]はちゃんと取[と]るべきだ。,"[""くても"", ""かろうと"", ""ければ"", ""いなら""]",1,"文意：再怎么忙，也应该好好吃饭。
考点：「イ形＋かろうと」表示假定条件的逆接，常与「いくら」连用。「くても」表示让步但语气较弱，「ければ」表示条件，「いなら」不是正确形式。"
GT_N1_008_05,N1_008,0,CHOICE,何[なに]を言[い]______、私[わたし]は信[しん]じない。,"[""っても"", ""おうが"", ""えば"", ""ったら""]",1,"文意：无论说什么，我都不相信。
考点：「動意向形＋が」表示假定条件的逆接，常与疑问词「何」连用。「っても」表示让步但语气较弱，「えば」「ったら」表示条件。"
GT_N1_009_01,N1_009,0,CHOICE,タバコの値[ね]段[だん]が上[あ]がろう______下[さ]がろう______、タバコを吸[す]わない私[わたし]にとってはどうでもいいことだ。,"[""と、と"", ""が、が"", ""ば、ば"", ""ても、ても""]",0,"文意：无论香烟的价格上涨也好下跌也罢，对于不吸烟的我来说，是无所谓的事。
考点：「～（よ）うと～（よ）うと」表示「无论...也好，...也好，都...」。前后助词必须一致。「ば、ば」「ても、ても」虽意思相近但不如该句型正式。"
GT_N1_009_02,N1_009,0,CHOICE,ほかの人[ひと]に笑[わら]われよう______バカにされよう______、やりたいことをやるつもりです。,"[""が、が"", ""と、が"", ""ば、ば"", ""ても、が""]",0,"文意：被别人嘲笑也好，受歧视也好，我想做自己想做的事情。
考点：「～（よ）うが～（よ）うが」表示假定条件的逆接，前后助词必须一致「が...が」或「と...と」。「ば、ば」「ても」意思相近但形式不同。"
GT_N1_009_03,N1_009,0,CHOICE,アクセサリーの値[ね]段[だん]は高[たか]かろう______安[やす]かろう______、つける人[ひと]の好[この]みと趣[しゅ]味[み]だ。,"[""が、と"", ""と、と"", ""ば、ば"", ""ても、ても""]",1,"文意：昂贵的首饰也好，便宜的首饰也好，只是看佩戴者的爱好和兴趣罢了。
考点：「イ形＋かろうと～かろうと」表示假定条件的逆接，前后使用意思相反的形容词。前后助词必须一致。"
GT_N1_009_04,N1_009,0,CHOICE,成[せい]功[こう]しよう______失[しっ]敗[ぱい]しよう______、やってみなければわからない。,"[""が、が"", ""ば、ば"", ""たら、たら"", ""ても、ても""]",0,"文意：成功也好失败也好，不试试看就不知道。
考点：「動意向形＋が～動意向形＋が」表示假定条件的逆接，前后使用意思相反的动词。「ば、ば」「たら、たら」「ても、ても」形式不符。"
GT_N1_009_05,N1_009,0,CHOICE,天[てん]気[き]がよかろう______悪[わる]かろう______、予[よ]定[てい]通[どお]り出[しゅっ]発[ぱつ]する。,"[""と、と"", ""ば、ば"", ""たら、たら"", ""ても、ても""]",0,"文意：天气好也罢坏也罢，按计划出发。
考点：「イ形＋かろうと～かろうと」表示假定条件的逆接。「よかろう」是「よい」的推量形，「悪かろう」是「悪い」的推量形。"
GT_N1_010_01,N1_010,0,CHOICE,周[しゅう]囲[い]の人[ひと]が反[はん]対[たい]しよう______しまい______、私[わたし]の気[き]持[も]ちは変[か]わらない。,"[""と、と"", ""が、が"", ""ば、ば"", ""ても、ても""]",0,"文意：不管周围的人反对与否，我的主意已定。
考点：「動意向形＋と＋動まい形＋と」表示「无论是否...都...」。前后使用同一动词的意志形和「まい」形。"
GT_N1_010_02,N1_010,0,CHOICE,雨[あめ]が降[ふ]ろう______降[ふ]る______、出[で]かけるつもりだ。,"[""と、まいと"", ""が、まいが"", ""ば、まいば"", ""ても、まいても""]",1,"文意：不管下不下雨，都要出去。
考点：「動意向形＋が＋動まい形＋が」表示「无论是否...都...」。「降る」的「まい形」是「降るまい」。后项使用表示意志的「つもりだ」。"
GT_N1_010_03,N1_010,0,CHOICE,夏[なつ]休[やす]みのキャンプに参[さん]加[か]しよう______しまい______、皆[みな]の自[じ]由[ゆう]だ。,"[""と、と"", ""が、が"", ""ば、ば"", ""ても、ても""]",1,"文意：是否参加本次夏令营活动是大家的自由。
考点：「動意向形＋が＋動まい形＋が」表示「无论是否...都...」。「する」的「まい形」可以是「するまい」或「しまい」。"
GT_N1_010_04,N1_010,0,CHOICE,彼[かれ]が来[こ]よう______来[こ]______、計[けい]画[かく]は変[か]えない。,"[""と、まいと"", ""が、まいが"", ""ば、なければ"", ""ても、なくても""]",0,"文意：不管他来不来，计划都不会改变。
考点：「動意向形＋と＋動まい形＋と」表示「无论是否...都...」。「来る」的「まい形」可以是「来るまい」或「来まい」。"
GT_N1_010_05,N1_010,0,CHOICE,信[しん]じよう______信[しん]じ______、事[じ]実[じつ]は事[じ]実[じつ]だ。,"[""と、ないと"", ""が、まいが"", ""ば、なければ"", ""ても、なくても""]",1,"文意：不管信不信，事实就是事实。
考点：「動意向形＋が＋動まい形＋が」表示「无论是否...都...」。「信じる」的「まい形」是「信じまい」。"
